ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,atingiu_pv,defasagem,fase_ideal,matematica,portugues,ingles,escola,status_ativo
RA-170,Aluno-170,2024,4R,4R,16.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Ametista,7.646383333300001,5.0,8.0,8.5,9.168,5.635,7.604166667,8.028333333,,-1.0,,10.0,6.5,7.5,Colégio Arco Íris Evolução,Cursando
RA-171,ALUNO-171,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-171,ALUNO-171,2021,3.0,A,,,,Escola Pública,Ametista,8.036,5.0,7.5,8.9,8.8,7.5,8.3,9.0,Sim,-1.0,,,,,,
RA-171,Aluno-171,2022,4,P,16.0,Menino,2022.0,Escola Pública,Ágata,6.581,5.0,5.5,6.8,7.5,7.5,,6.875,Não,-2.0,,3.0,8.0,,,
RA-171,Aluno-171,2023,FASE 5,5L,17.0,Masculino,2022.0,Pública,Agata,6.293083333,5.0,5.2,7.2,7.5,5.0,7.1875,6.755,,-2.0,,4.5,4.8,6.2,,
RA-171,Aluno-171,2024,6L,6L,18.0,Masculino,2022.0,Pública,Ametista,7.3289333333333335,5.0,8.333333333333334,7.833333333333333,7.5,5.635,7.625,7.598,,-1.0,,7.0,8.0,10.0,EE Donizetti Aparecido Leite Professor,Cursando
RA-172,ALUNO-172,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-172,ALUNO-172,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-172,Aluno-172,2022,4,P,14.0,Menina,2018.0,Rede Decisão,Topázio,8.673,10.0,7.3,8.9,9.2,9.4,,8.917,Sim,0.0,,6.0,7.7,8.1,,
RA-172,Aluno-172,2023,FASE 7,7E,15.0,Feminino,2018.0,Privada - Programa de Apadrinhamento,,,10.0,,,0.0,3.77,,,,2.0,,,,,,
RA-172,Aluno-172,2024,7E,7E,16.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.128766666666667,10.0,6.933333333333334,9.8,8.751,6.57,7.5,7.5,,1.0,,6.7,7.7,6.4,Colégio Albert Einstein - SP,Cursando
RA-173,ALUNO-173,2021,5.0,F,,,,Escola Pública,Ágata,6.532,5.0,4.9,6.7,9.6,5.0,7.7,7.5,Não,-2.0,,,,,,
RA-173,Aluno-173,2022,4,P,17.0,Menino,2019.0,Rede Decisão,Ametista,7.816,2.5,7.9,9.2,8.3,6.9,,9.25,Sim,-3.0,,9.0,7.5,7.1,,
