ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,atingiu_pv,defasagem,fase_ideal,matematica,portugues,ingles,escola,status_ativo
RA-1116,ALUNO-1116,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1116,ALUNO-1116,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1116,ALUNO-1116,2022,1.0,A,,,2022.0,,Ametista,7.576481298701299,5.0,7.666666666666667,8.16017316017316,7.916679999999999,7.5,6.25,8.722226666666668,Sim,,,9.333333333333334,6.0,,,
RA-1116,Aluno-1116,2023,FASE 2,2K,13.0,Masculino,2023.0,Pública,Agata,6.956533333,5.0,4.9,9.2,9.5,5.0,7.083333333,7.39,,-1.0,,3.8,6.0,,,
RA-1116,Aluno-1116,2024,3M,3M,15.0,Masculino,2023.0,Pública,Quartzo,3.7894777778,5.0,2.3333333333333335,3.3555555556666667,0.0,6.26,5.125,5.066,,-1.0,,1.0,3.0,3.0,EM Cecilia Cristina de Oliveira Rodrigues,Cursando
RA-1117,ALUNO-1117,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1117,ALUNO-1117,2021,0.0,N,,,,Escola Pública,Ametista,7.129,10.0,6.8,8.3,9.5,0.0,7.5,7.0,Não,0.0,,,,,,
RA-1117,ALUNO-1117,2022,0.0,G,,,2021.0,Escola Pública,Ágata,6.730834666666667,5.0,7.583333333333333,5.925000000000001,8.000020000000001,7.5,5.625,7.08333,Não,,,7.833333333333333,7.333333333333333,,,
RA-1117,Aluno-1117,2023,FASE 2,2K,,Feminino,2023.0,Pública,Topázio,8.382366667,10.0,7.3,9.6,9.0,7.52,7.708333333,7.946666667,,0.0,,6.0,8.5,,,
RA-1117,Aluno-1117,2024,3K,3K,12.0,Feminino,2023.0,Pública,Ametista,7.601562962866668,10.0,5.666666666666667,8.314814814666667,8.751,7.51,8.125,6.833333333,,1.0,,5.0,5.0,7.0,EE Maria André Schunck Dona,Cursando
RA-1118,ALUNO-1118,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1118,ALUNO-1118,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1118,ALUNO-1118,2022,3.0,B,,,2022.0,,Ametista,7.1010415,10.0,5.0,8.75,8.33334,7.5,7.34375,5.1666625,Não,,,6.0,4.0,,,
RA-1118,Aluno-1118,2023,FASE 2,2K,,Feminino,2023.0,Pública,Ametista,7.163833333,5.0,6.0,8.8,5.3,7.52,7.708333333,8.28,,-1.0,,4.8,7.2,,,
RA-1118,Aluno-1118,2024,3M,3M,14.0,Feminino,2023.0,Pública,Ametista,7.0305545924,10.0,3.8333333333333335,7.846439628666666,7.084,9.38,6.75,6.866,,0.0,,3.0,4.5,4.0,EM Alfredo Schunk,Cursando
RA-1119,ALUNO-1119,2021,2.0,A,,,,Escola Pública,Ametista,7.383,10.0,5.6,5.8,10.0,7.5,7.1,8.2,Não,1.0,,,,,,
RA-1119,ALUNO-1119,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1119,Aluno-1119,2023,FASE 2,2L,13.0,Feminino,2023.0,Pública,Ametista,7.192,5.0,5.9,9.7,7.3,3.77,7.708333333,8.453333333,,-1.0,,3.0,8.8,,,
RA-1119,Aluno-1119,2024,3M,3M,14.0,Feminino,2023.0,Pública,Ametista,7.388266666666667,5.0,5.666666666666667,8.716666666666667,9.585,7.51,7.625,7.698,,-1.0,,6.0,3.5,7.5,EM Cecilia Cristina de Oliveira Rodrigues,Cursando
RA-112,ALUNO-112,2021,4.0,F,,,,Escola Pública,Ágata,6.098,5.0,6.2,3.1,9.2,6.9,7.7,6.9,Não,-1.0,,,,,,
RA-112,Aluno-112,2022,4,A,15.0,Menina,2016.0,Rede Decisão,Ametista,7.836,5.0,8.5,7.8,7.9,6.3,,8.833,Sim,-1.0,,9.0,7.5,9.1,,
RA-112,Aluno-112,2023,FASE 5,5A,,Feminino,2016.0,Privada - Programa de Apadrinhamento,Ametista,7.141308333,5.0,7.4,8.1,6.7,5.0,7.96875,7.9225,,-1.0,,7.3,6.5,8.3,,
RA-112,Aluno-112,2024,6A,6A,17.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.052609920666667,10.0,8.0,7.978174603333333,7.083,7.51,7.96875,8.004,,0.0,,9.5,6.0,8.5,Colégio Arco Íris Evolução,Cursando
RA-1120,ALUNO-1120,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1120,ALUNO-1120,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1120,ALUNO-1120,2022,1.0,N,,,2022.0,,Topázio,8.063890666666667,10.0,7.25,9.166666666666666,9.50002,7.5,6.25,7.277776666666666,Não,,,8.0,6.5,,,
RA-1120,Aluno-1120,2023,FASE 2,2L,11.0,Feminino,2023.0,Pública,Topázio,9.103366667,10.0,8.3,9.6,9.5,7.52,8.958333333,9.676666667,,0.0,,7.3,9.2,,,
RA-1121,ALUNO-1121,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1121,ALUNO-1121,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1121,ALUNO-1121,2022,0.0,N,,,2022.0,,Ametista,7.484593745480259,10.0,6.0,8.422963727401292,9.50002,7.5,5.0,6.999995,Não,,,6.333333333333333,5.666666666666667,,,
RA-1121,Aluno-1121,2023,FASE 2,2L,,Masculino,2023.0,Pública,Topázio,8.049,10.0,8.0,9.9,0.0,6.26,8.75,9.84,,0.0,,6.5,9.5,,,
RA-1121,Aluno-1121,2024,3K,3K,12.0,Masculino,2023.0,Pública,Topázio,8.407166666633334,10.0,6.666666666666667,10.0,9.585,7.51,7.083333333,8.28,,0.0,,9.0,5.0,6.0,EE Maria André Schunck Dona,Cursando
RA-1122,ALUNO-1122,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1122,ALUNO-1122,2021,4.0,L,,,,Escola Pública,Ametista,7.906,10.0,8.4,5.8,8.8,7.5,7.8,8.3,Não,0.0,,,,,,
RA-1122,ALUNO-1122,2022,5.0,K,,,2021.0,Escola Pública,Topázio,8.71196797863248,10.0,8.777777777777779,9.615384615384617,8.33334,7.5,7.5,8.500007499999999,Sim,,,8.0,8.333333333333334,10.0,,
RA-1122,Aluno-1122,2023,FASE 2,2L,11.0,Masculino,2023.0,Pública,Ametista,7.3715,10.0,6.9,9.3,0.0,6.89,7.291666667,8.616666667,,0.0,,5.2,8.5,,,
RA-1122,Aluno-1122,2024,3K,3K,12.0,Masculino,2023.0,Pública,Ametista,7.817322222166666,10.0,5.333333333333333,9.861111111,8.751,7.51,7.083333333,7.22,,1.0,,5.0,4.5,6.5,EE Maria André Schunck Dona,Cursando
RA-1123,ALUNO-1123,2021,4.0,G,,,,Rede Decisão,Ametista,7.634,5.0,7.5,8.6,7.5,6.3,8.3,8.5,Não,-2.0,,,,,,
RA-1123,ALUNO-1123,2022,4.0,P,,,2019.0,Rede Decisão,Ametista,7.815768210526317,2.5,7.866666666666666,9.201754385964913,8.33334,6.875,7.8125,9.25,Sim,,,7.5,9.0,7.099999999999999,,
RA-1123,Aluno-1123,2023,FASE 2,2L,,Masculino,2023.0,Pública,Agata,6.9565,5.0,5.3,8.9,7.3,7.52,7.083333333,7.113333333,,-1.0,,3.8,6.8,,,
RA-1124,ALUNO-1124,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1124,ALUNO-1124,2021,4.0,F,,,,Escola Pública,Ametista,7.264,5.0,6.0,8.6,7.9,5.6,8.1,8.4,Não,-2.0,,,,,,
RA-1124,ALUNO-1124,2022,5.0,K,,,2021.0,Escola Pública,Ametista,7.498492675990676,5.0,6.466666666666666,9.213286713286712,7.08334,5.625,7.5,9.208340000000002,Sim,,,6.166666666666667,6.833333333333333,6.4,,
RA-1124,Aluno-1124,2023,FASE 2,2M,14.0,Feminino,2023.0,Pública,Agata,6.667866667,5.0,3.0,8.0,9.5,7.52,7.083333333,7.786666667,,-2.0,,1.0,5.0,,,
RA-1125,ALUNO-1125,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1125,ALUNO-1125,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1125,ALUNO-1125,2022,1.0,F,,,2022.0,,Ágata,6.306945444444445,5.0,3.25,9.72222222222222,9.50002,5.625,5.0,5.999995,Não,,,5.5,1.0,,,
RA-1125,Aluno-1125,2023,FASE 2,2M,,Feminino,2023.0,Pública,Agata,6.655366667,10.0,4.0,7.9,4.7,7.52,6.666666667,6.95,,0.0,,1.0,7.0,,,
RA-1126,ALUNO-1126,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1126,ALUNO-1126,2021,3.0,G,,,,Escola Pública,Quartzo,5.047,5.0,4.0,3.3,7.1,7.5,6.7,4.8,Não,-1.0,,,,,,
RA-1126,ALUNO-1126,2022,3.0,G,,,2021.0,Escola Pública,Quartzo,4.786323286324786,5.0,3.444444444444444,5.799679487179487,0.0,5.625,7.5,5.6249925,Não,,,5.5,1.333333333333333,3.5,,
RA-1126,Aluno-1126,2023,FASE 2,2M,12.0,Feminino,2023.0,Pública,,,5.0,,5.2,0.0,3.77,7.291666667,7.06,,-1.0,,,,,,
RA-1127,ALUNO-1127,2021,3.0,A,,,,Rede Decisão,Ametista,7.547,10.0,5.5,7.8,9.2,6.3,7.9,7.8,Não,0.0,,,,,,
RA-1127,ALUNO-1127,2022,3.0,A,,,2018.0,Rede Decisão,Ametista,7.628620754385966,5.0,7.166666666666667,9.736842105263158,10.00002,5.0,7.8125,7.333335,Não,,,7.166666666666667,6.333333333333333,8.0,,
RA-1127,Aluno-1127,2023,FASE 2,2N,,Feminino,2023.0,Pública,Topázio,8.3167,10.0,6.9,9.9,8.5,5.02,8.125,9.01,,0.0,,5.0,8.7,,,
RA-1127,Aluno-1127,2024,3N,3N,12.0,Feminino,2023.0,Pública,Topázio,8.180966666666668,10.0,5.833333333333333,10.0,9.168,7.51,8.125,7.67,,0.0,,8.5,4.5,4.5,EE Donizetti Aparecido Leite Professor,Cursando
RA-1128,ALUNO-1128,2021,4.0,F,,,,Rede Decisão,Ametista,7.961,5.0,8.1,8.9,9.2,5.0,8.8,8.9,Não,-1.0,,,,,,
RA-1128,ALUNO-1128,2022,5.0,B,,,2018.0,Rede Decisão,Topázio,8.28217875925926,5.0,8.666666666666666,9.056712962962962,8.33334,8.75,6.458333333333334,9.4166775,Sim,,,8.166666666666666,8.166666666666666,9.666666666666666,,
RA-1128,Aluno-1128,2023,FASE 2,2N,12.0,Masculino,2023.0,Pública,Agata,6.404533333,5.0,3.5,7.3,9.5,5.02,7.916666667,7.503333333,,-1.0,,3.0,4.0,,,
RA-1129,ALUNO-1129,2021,2.0,I,,,,Escola Pública,Ametista,7.261,10.0,4.6,7.9,6.8,6.9,7.7,8.1,Não,0.0,,,,,,
RA-1129,ALUNO-1129,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1129,Aluno-1129,2023,FASE 2,2N,11.0,Masculino,2023.0,Pública,Ametista,7.309333333,10.0,7.8,9.2,0.0,6.27,7.916666667,7.503333333,,0.0,,6.8,8.7,,,
RA-1129,Aluno-1129,2024,3N,3N,12.0,Masculino,2023.0,Pública,Ametista,7.360417647066668,10.0,6.833333333333333,7.137254902,9.168,8.13,6.875,5.745,,0.0,,9.0,5.5,6.0,EE Donizetti Aparecido Leite Professor,Cursando
RA-113,ALUNO-113,2021,2.0,K,,,,Escola Pública,Ágata,6.664,5.0,4.6,7.1,9.5,7.5,8.1,6.6,Não,-1.0,,,,,,
RA-113,Aluno-113,2022,4,A,15.0,Menina,2017.0,Rede Decisão,Quartzo,3.032,5.0,3.7,0.0,0.0,5.0,,3.792,Não,-1.0,,3.3,5.5,2.3,,
RA-113,Aluno-113,2024,5G,5G,16.0,Feminino,2021.0,Pública,Ametista,7.043536903066667,5.0,6.666666666666667,7.063851181666667,8.751,7.51,7.5,7.106666667,,-1.0,,7.0,6.0,7.0,EE Leonice de Aquino Oliveira,Cursando
RA-1130,ALUNO-1130,2021,2.0,N,,,,Rede Decisão,Topázio,9.107,5.0,9.5,10.0,10.0,7.5,9.8,9.9,Sim,-1.0,,,,,,
RA-1130,ALUNO-1130,2022,3.0,K,,,2019.0,Rede Decisão,Topázio,8.815164203703704,10.0,9.111111111111112,9.907407407407408,9.16668,6.25,8.28125,8.208337499999999,Não,,,8.333333333333334,9.666666666666666,9.333333333333334,,
RA-1130,Aluno-1130,2023,FASE 2,2N,11.0,Masculino,2023.0,Pública,Topázio,8.0037,10.0,7.3,8.4,8.5,7.52,7.708333333,7.503333333,,0.0,,6.3,8.2,,,
RA-1130,Aluno-1130,2024,3N,3N,12.0,Masculino,2023.0,Pública,Agata,6.563952941199999,10.0,4.333333333333333,6.278431372666667,8.751,8.13,6.875,5.33,,0.0,,7.5,3.5,2.0,EE Donizetti Aparecido Leite Professor,Cursando
RA-1131,ALUNO-1131,2021,3.0,M,,,,Escola Pública,Ágata,5.774,5.0,4.1,5.6,7.1,7.5,6.9,6.0,Não,-1.0,,,,,,
RA-1131,ALUNO-1131,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1131,Aluno-1131,2023,FASE 2,2N,12.0,Feminino,2023.0,Pública,Topázio,8.316133333,5.0,9.1,9.9,7.9,5.02,8.75,9.286666667,,-1.0,,8.3,9.8,,,
RA-1131,Aluno-1131,2024,3K,3K,13.0,Feminino,2023.0,Privada - Programa de Apadrinhamento,Topázio,8.2889555555,10.0,8.333333333333334,9.277777777666666,8.334,6.255,7.291666667,7.893333333,,0.0,,8.0,7.0,10.0,Colégio Arco Íris Evolução,Cursando
RA-1132,ALUNO-1132,2021,7.0,A,,,,Rede Decisão,Ametista,7.584,5.0,8.0,8.6,7.1,7.5,8.3,7.4,Não,-1.0,,,,,,
RA-1132,ALUNO-1132,2022,,,,,,Rede Decisão,,,,,,,,,,,,,,,,,
RA-1132,Aluno-1132,2023,FASE 2,2N,12.0,Masculino,2023.0,Pública,Agata,6.829533333,5.0,5.8,6.3,10.0,6.27,7.916666667,7.503333333,,-1.0,,5.2,6.3,,,
RA-1133,ALUNO-1133,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1133,ALUNO-1133,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1133,Aluno-1133,2023,FASE 2,2N,10.0,Feminino,2023.0,Pública,Topázio,8.600033333,10.0,6.5,10.0,9.5,6.27,8.541666667,9.343333333,,0.0,,5.0,8.0,,,
RA-1133,Aluno-1133,2024,3U,3U,11.0,Feminino,2023.0,Pública,Topázio,8.238553968266668,10.0,4.5,9.841269841333334,9.168,8.75,8.125,8.83,,1.0,,5.0,3.5,5.0,EE Donizetti Aparecido Leite Professor,Cursando
RA-1134,ALUNO-1134,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1134,ALUNO-1134,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1134,Aluno-1134,2023,FASE 2,2N,11.0,Masculino,2023.0,Pública,Ametista,7.769866667,10.0,6.8,9.7,8.0,3.76,7.916666667,7.56,,0.0,,5.5,8.0,,,
RA-1134,Aluno-1134,2024,3U,3U,12.0,Masculino,2023.0,Pública,Ametista,7.7564571427,10.0,6.0,8.914285714,8.751,7.51,7.708333333,6.883333333,,0.0,,6.0,5.5,6.5,EE Donizetti Aparecido Leite Professor,Cursando
RA-1135,ALUNO-1135,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1135,ALUNO-1135,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1135,ALUNO-1135,2022,0.0,Y,,,2022.0,,Ametista,7.369327063492064,5.0,9.05,8.317460317460318,8.500020000000001,7.5,3.125,7.416665,Não,,,8.266666666666667,9.833333333333334,,,
RA-1135,Aluno-1135,2023,FASE 2,2P,11.0,Masculino,2023.0,Pública,Ametista,7.453833333,10.0,7.2,9.4,0.0,7.52,8.125,7.896666667,,0.0,,4.8,9.5,,,
RA-1136,ALUNO-1136,2021,4.0,E,,,,Escola Pública,Topázio,8.292,5.0,8.2,9.2,8.8,7.5,8.8,9.1,Sim,-1.0,,,,,,
RA-1136,ALUNO-1136,2022,5.0,B,,,2019.0,Escola Pública,Ametista,7.367519229847495,5.0,7.477777777777778,8.088984204793029,7.08333,8.125,5.833333333333334,8.2500025,Não,,,8.166666666666666,4.833333333333333,9.433333333333334,,
RA-1136,Aluno-1136,2023,FASE 2,2P,13.0,Feminino,2023.0,Pública,Agata,6.7351,5.0,6.6,8.1,6.8,2.52,8.333333333,7.723333333,,-1.0,,4.8,8.3,,,
RA-1136,Aluno-1136,2024,3R,3R,14.0,Feminino,2023.0,Pública,Quartzo,5.458179831866667,5.0,1.6666666666666667,4.547899159666667,8.751,8.135,7.5,6.383333333,,-1.0,,1.0,2.0,2.0,EE Donizetti Aparecido Leite Professor,Cursando
RA-1137,ALUNO-1137,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1137,ALUNO-1137,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1137,Aluno-1137,2023,FASE 2,2R,10.0,Feminino,2023.0,Pública,Topázio,8.743366667,10.0,6.5,9.8,9.5,6.27,9.375,9.843333333,,0.0,,6.0,7.0,,,
RA-1137,Aluno-1137,2024,3P,3P,11.0,Feminino,2023.0,Pública,Ametista,7.1837526524666675,10.0,3.5,7.588638262333333,8.334,8.13,8.28125,7.4575,,1.0,,1.0,4.5,5.0,EE Maria André Schunck Dona,Cursando
RA-1138,ALUNO-1138,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1138,ALUNO-1138,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1138,ALUNO-1138,2022,4.0,B,,,2022.0,,Topázio,8.28325764036921,10.0,7.888888888888889,8.683646812957157,7.5,7.5,8.4375,8.1250025,Não,,,7.666666666666667,7.666666666666667,8.333333333333334,,
RA-1138,Aluno-1138,2023,FASE 2,2R,12.0,Feminino,2023.0,Pública,Topázio,8.3472,5.0,9.3,9.2,9.0,6.27,9.166666667,8.566666667,,-1.0,,9.0,9.5,,,
RA-1139,ALUNO-1139,2021,3.0,C,,,,Escola Pública,Ágata,6.497,5.0,5.0,5.8,8.8,7.5,7.5,7.3,Não,-1.0,,,,,,
RA-1139,ALUNO-1139,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1139,Aluno-1139,2023,FASE 2,2R,11.0,Masculino,2023.0,Pública,Ametista,7.6647,10.0,5.3,9.1,8.5,5.64,8.125,7.79,,0.0,,6.3,4.3,,,
RA-1139,Aluno-1139,2024,3P,3P,12.0,Masculino,2023.0,Pública,Agata,6.906276357600001,10.0,4.666666666666667,6.152715121333333,8.334,7.51,7.5,7.04,,1.0,,5.0,3.0,6.0,EE Maria André Schunck Dona,Cursando
RA-114,ALUNO-114,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-114,ALUNO-114,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-114,Aluno-114,2022,4,A,16.0,Menino,2022.0,Escola Pública,Quartzo,5.894,5.0,5.3,6.3,7.9,7.5,,5.0,Não,-2.0,,6.0,4.5,,,
RA-114,Aluno-114,2023,FASE 5,5B,,Masculino,2022.0,Pública,Quartzo,5.335,5.0,5.6,6.0,0.0,3.14,7.5,7.255,,-2.0,,4.0,4.5,8.3,,
RA-1140,ALUNO-1140,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1140,ALUNO-1140,2021,5.0,B,,,,Escola Pública,Ágata,6.545,5.0,5.5,6.1,7.5,7.5,7.8,7.2,Não,-2.0,,,,,,
RA-1140,ALUNO-1140,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1140,Aluno-1140,2023,FASE 2,2R,11.0,Feminino,2023.0,Pública,Ametista,7.703533333,10.0,7.3,8.7,4.7,7.52,7.708333333,7.62,,0.0,,8.5,6.0,,,
RA-1140,Aluno-1140,2024,2P,2P,12.0,Feminino,2023.0,Pública,Ametista,7.3473880383,10.0,7.0,6.112440191499999,6.834,7.51,8.125,7.39,,0.0,,4.5,9.5,,EE Donizetti Aparecido Leite Professor,Cursando
RA-1141,ALUNO-1141,2021,2.0,P,,,,Escola Pública,Ametista,6.969,5.0,6.9,5.0,7.4,7.5,8.1,8.9,Não,-2.0,,,,,,
RA-1141,ALUNO-1141,2022,3.0,D,,,2019.0,Escola Pública,Quartzo,5.604466564270153,5.0,6.166666666666667,4.647331154684096,7.08333,7.5,5.0,4.91667,Não,,,7.5,5.0,6.0,,
RA-1141,Aluno-1141,2023,FASE 2,2R,12.0,Feminino,2023.0,Pública,Ametista,7.2757,5.0,5.9,8.8,9.0,7.52,7.708333333,7.113333333,,-1.0,,5.5,6.2,,,
RA-1141,Aluno-1141,2024,3L,3L,13.0,Feminino,2023.0,Pública,Agata,6.793890866866667,10.0,4.166666666666667,6.191537667666666,9.585,7.51,6.5625,6.7825,,0.0,,5.0,4.5,3.0,EE Maria André Schunck Dona,Cursando
RA-1142,ALUNO-1142,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1142,ALUNO-1142,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1142,Aluno-1142,2023,FASE 2,2R,11.0,Feminino,2023.0,Pública,Topázio,9.175033333,10.0,10.0,10.0,9.0,7.52,8.541666667,8.343333333,,0.0,,10.0,10.0,,,
RA-1142,Aluno-1142,2024,3P,3P,12.0,Feminino,2023.0,Pública,Topázio,8.390566666666668,10.0,8.5,9.133333333333333,8.334,7.51,8.125,7.335,,0.0,,10.0,8.0,7.5,EM Cecilia Cristina de Oliveira Rodrigues,Cursando
RA-1143,ALUNO-1143,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1143,ALUNO-1143,2021,0.0,O,,,,Escola Pública,Ametista,7.154,5.0,6.3,10.0,8.5,3.8,7.5,7.1,Não,-1.0,,,,,,
RA-1143,ALUNO-1143,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1143,Aluno-1143,2023,FASE 3,3A,15.0,Feminino,2023.0,Pública,Agata,6.445933333,5.0,5.3,7.0,8.8,6.26,7.5,6.2075,,-2.0,,6.0,6.3,3.5,,
RA-1143,Aluno-1143,2024,3A,3A,16.0,Feminino,2021.0,Pública,Quartzo,5.881225668333334,2.5,3.1666666666666665,5.201336675,9.585,9.38,7.03125,6.79,,-3.0,,3.0,6.5,0.0,EE Joaquim Mendes Feliz,Cursando
RA-1144,ALUNO-1144,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1144,ALUNO-1144,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1144,ALUNO-1144,2022,0.0,M,,,2022.0,,Ágata,6.921727523809524,5.0,8.083333333333334,6.785714285714285,10.00002,5.0,5.3125,7.08333,Não,,,6.833333333333333,9.333333333333334,,,
RA-1144,Aluno-1144,2023,FASE 3,3B,13.0,Feminino,2023.0,Pública,Ametista,7.410625,10.0,8.0,9.4,0.0,5.02,8.28125,8.0025,,0.0,,7.0,8.2,8.8,,
RA-1145,ALUNO-1145,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1145,ALUNO-1145,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1145,Aluno-1145,2023,FASE 3,3B,11.0,Feminino,2023.0,Pública,Ametista,7.484375,10.0,7.8,9.5,0.0,4.39,8.59375,8.63,,1.0,,7.7,7.7,8.0,,
RA-1146,ALUNO-1146,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1146,ALUNO-1146,2021,3.0,A,,,,Escola Pública,Ametista,7.775,10.0,6.1,7.2,9.6,7.5,7.5,8.3,Não,0.0,,,,,,
RA-1146,ALUNO-1146,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1146,Aluno-1146,2023,FASE 3,3B,14.0,Feminino,2023.0,Pública,Agata,6.689583333,5.0,3.7,8.8,9.6,6.26,7.1875,6.965,,-1.0,,5.0,3.3,2.7,,
RA-1146,Aluno-1146,2024,3C,3C,15.0,Feminino,2023.0,Pública,Quartzo,5.3933086048000005,5.0,2.0,5.017209691,10.002,6.88,6.25,5.883333333,,-2.0,,2.0,0.0,4.0,EE Mario Francisco de Amorim,Cursando
RA-1147,ALUNO-1147,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1147,ALUNO-1147,2021,5.0,L,,,,Escola Pública,Ametista,8.181,5.0,8.9,8.1,9.6,7.5,8.8,8.6,Não,-1.0,,,,,,
RA-1147,ALUNO-1147,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1147,Aluno-1147,2023,FASE 3,3B,,Feminino,2023.0,Pública,Ametista,7.072983333,5.0,6.7,8.3,8.3,6.26,7.1875,7.0075,,-1.0,,5.0,7.5,7.5,,
RA-1147,Aluno-1147,2024,3B,3B,15.0,Feminino,2023.0,Pública,Quartzo,5.833118518533334,5.0,3.1666666666666665,6.125925926,8.751,8.755,6.25,5.495,,-1.0,,2.0,5.0,2.5,EE Loris Nassif Mattar Profa,Cursando
RA-1148,ALUNO-1148,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1148,ALUNO-1148,2022,,,,,,,,,,,,,,,,,,,,,,,
RA-1148,Aluno-1148,2023,FASE 3,3B,11.0,Feminino,2023.0,Pública,Ametista,7.227866667,10.0,5.7,8.6,7.9,3.77,7.5,7.2125,,1.0,,5.7,5.3,6.2,,
RA-1149,ALUNO-1149,2021,0.0,P,,,,Escola Pública,Ágata,5.825,5.0,5.4,4.2,9.0,7.5,5.0,6.3,Não,-2.0,,,,,,
RA-1149,ALUNO-1149,2022,,,,,,Escola Pública,,,,,,,,,,,,,,,,,
RA-1149,Aluno-1149,2023,FASE 3,3C,,Feminino,2023.0,Pública,Ametista,7.410108333,5.0,7.2,9.8,8.3,2.52,7.96875,8.1725,,-1.0,,6.0,6.8,8.7,,
RA-1149,Aluno-1149,2024,4A,4A,15.0,Feminino,2023.0,Pública,Topázio,8.1371,5.0,6.0,10.0,8.334,10.0,8.625,8.706,,-1.0,,2.0,6.0,10.0,EE Joaquim Mendes Feliz,Cursando
RA-115,ALUNO-115,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-115,Aluno-115,2022,4,A,16.0,Menina,2019.0,Escola Pública,Quartzo,5.886,5.0,3.8,6.8,8.3,6.3,,5.583,Não,-2.0,,3.0,5.7,2.7,,
RA-115,Aluno-115,2023,FASE 5,5A,16.0,Feminino,2019.0,Pública,Agata,6.319141667,5.0,4.2,7.1,8.8,5.0,7.34375,7.215,,-1.0,,3.7,3.8,5.2,,
RA-115,Aluno-115,2024,5A,5A,17.0,Feminino,2021.0,Pública,Quartzo,5.404184695733334,5.0,4.166666666666667,4.164756812,7.917,6.26,6.75,5.726,,-2.0,,6.5,4.5,1.5,EE Joaquim Mendes Feliz,Cursando
RA-1150,ALUNO-1150,2021,1.0,G,,,,Escola Pública,Ametista,7.318,5.0,5.8,8.8,8.0,7.5,8.3,7.6,Não,-1.0,,,,,,
RA-1150,ALUNO-1150,2022,1.0,G,,,2018.0,Escola Pública,Ametista,7.181471298245615,5.0,6.416666666666666,8.771929824561404,9.000020000000001,5.0,5.9375,8.25,Não,,,8.0,4.833333333333333,,,
RA-1150,Aluno-1150,2023,FASE 3,3C,16.0,Masculino,2023.0,Pública,Ametista,7.076008333,2.5,6.7,9.8,9.2,2.52,7.96875,7.835,,-3.0,,7.0,6.5,6.5,,
RA-1150,Aluno-1150,2024,4C,4C,17.0,Masculino,2023.0,Pública,Ametista,7.1023212964,5.0,6.833333333333333,6.481481481666667,8.334,7.51,7.65625,7.946666667,,-2.0,,4.0,6.5,10.0,EE Olivia de Faria Nogueira,Cursando
RA-1151,ALUNO-1151,2020,,,,,,,,,,,,,,,,,,,,,,,
